lag_time_ps,msd_A2
0.000000000000000000e+00,-3.272183604684530269e-10
1.000000000000000000e+00,2.144326746127322103e+00
2.000000000000000000e+00,3.721214621516499399e+00
3.000000000000000000e+00,5.260560970672925052e+00
4.000000000000000000e+00,6.785193180048449513e+00
5.000000000000000000e+00,8.306703312572883746e+00
6.000000000000000000e+00,9.830245972701021628e+00
7.000000000000000000e+00,1.134615238741049481e+01
8.000000000000000000e+00,1.286727856400531245e+01
9.000000000000000000e+00,1.437908274064460024e+01
1.000000000000000000e+01,1.588657793156877851e+01
1.100000000000000000e+01,1.738571477028204271e+01
1.200000000000000000e+01,1.889020858889166377e+01
1.300000000000000000e+01,2.039613533832329750e+01
1.400000000000000000e+01,2.189304316922755334e+01
1.500000000000000000e+01,2.339152989209914679e+01
1.600000000000000000e+01,2.488217890795028708e+01
1.700000000000000000e+01,2.637413434732077633e+01
1.800000000000000000e+01,2.786747744469528953e+01
1.900000000000000000e+01,2.936489897404149829e+01
2.000000000000000000e+01,3.086484175509410477e+01
2.100000000000000000e+01,3.236318133573815459e+01
2.200000000000000000e+01,3.386135572143968631e+01
2.300000000000000000e+01,3.535901658366252320e+01
2.400000000000000000e+01,3.685612675596951249e+01
2.500000000000000000e+01,3.834980757025285669e+01
2.600000000000000000e+01,3.983935781250173847e+01
2.700000000000000000e+01,4.132390297596096218e+01
2.800000000000000000e+01,4.281029855179293264e+01
2.900000000000000000e+01,4.429400303571986797e+01
3.000000000000000000e+01,4.577160782371038295e+01
3.100000000000000000e+01,4.725130930169154198e+01
3.200000000000000000e+01,4.873876770967142136e+01
3.300000000000000000e+01,5.022693474542272440e+01
3.400000000000000000e+01,5.170973677616413511e+01
3.500000000000000000e+01,5.319198724790516053e+01
3.600000000000000000e+01,5.467520435751587371e+01
3.700000000000000000e+01,5.616004115263580587e+01
3.800000000000000000e+01,5.764149968529049062e+01
3.900000000000000000e+01,5.912928974993094045e+01
4.000000000000000000e+01,6.061731017992575232e+01
4.100000000000000000e+01,6.210133541139476421e+01
4.200000000000000000e+01,6.359415434447755899e+01
4.300000000000000000e+01,6.508587438180472873e+01
4.400000000000000000e+01,6.657776387059007561e+01
4.500000000000000000e+01,6.807371361914550789e+01
4.600000000000000000e+01,6.956407422899241055e+01
4.700000000000000000e+01,7.105303462769106204e+01
4.800000000000000000e+01,7.254311281029696090e+01
4.900000000000000000e+01,7.403713606195874775e+01
5.000000000000000000e+01,7.553342212997996796e+01
5.100000000000000000e+01,7.702730122857049366e+01
5.200000000000000000e+01,7.851690875569754269e+01
5.300000000000000000e+01,8.001534405104477798e+01
5.400000000000000000e+01,8.151713755876858158e+01
5.500000000000000000e+01,8.301616585478090826e+01
5.600000000000000000e+01,8.451321463408375223e+01
5.700000000000000000e+01,8.600930893820158474e+01
5.800000000000000000e+01,8.751084727658307827e+01
5.900000000000000000e+01,8.901080740233621214e+01
6.000000000000000000e+01,9.050529314473510567e+01
6.100000000000000000e+01,9.199868678740831740e+01
6.200000000000000000e+01,9.348541813020005975e+01
6.300000000000000000e+01,9.497219103313469191e+01
6.400000000000000000e+01,9.646239999638147822e+01
6.500000000000000000e+01,9.795049885966679426e+01
6.600000000000000000e+01,9.944501416958374307e+01
6.700000000000000000e+01,1.009479440426825931e+02
6.800000000000000000e+01,1.024447148354619515e+02
6.900000000000000000e+01,1.039347978293135952e+02
7.000000000000000000e+01,1.054237160465074652e+02
7.100000000000000000e+01,1.069102343640631716e+02
7.200000000000000000e+01,1.084065902545098794e+02
7.300000000000000000e+01,1.099055470392761720e+02
7.400000000000000000e+01,1.113992249476120406e+02
7.500000000000000000e+01,1.128919548709687035e+02
7.600000000000000000e+01,1.143865131993340043e+02
7.700000000000000000e+01,1.158754801536979926e+02
7.800000000000000000e+01,1.173627991985986796e+02
7.900000000000000000e+01,1.188428806840569365e+02
8.000000000000000000e+01,1.203286365226995542e+02
8.100000000000000000e+01,1.218148826976740651e+02
8.200000000000000000e+01,1.233000862283575145e+02
8.300000000000000000e+01,1.247838173981508874e+02
8.400000000000000000e+01,1.262592621800850878e+02
8.500000000000000000e+01,1.277431957602735935e+02
8.600000000000000000e+01,1.292233188649342708e+02
8.700000000000000000e+01,1.307045284660177060e+02
8.800000000000000000e+01,1.321788231608389026e+02
8.900000000000000000e+01,1.336577885087683910e+02
9.000000000000000000e+01,1.351333101742579288e+02
9.100000000000000000e+01,1.366143632741678289e+02
9.200000000000000000e+01,1.380930567534945510e+02
9.300000000000000000e+01,1.395722320319808034e+02
9.400000000000000000e+01,1.410531130186486166e+02
9.500000000000000000e+01,1.425358881799241431e+02
9.600000000000000000e+01,1.440236969441946258e+02
9.700000000000000000e+01,1.455138767565282478e+02
9.800000000000000000e+01,1.470050294604241685e+02
9.900000000000000000e+01,1.484984879810158134e+02
1.000000000000000000e+02,1.499840988068492607e+02
1.010000000000000000e+02,1.514672134134842452e+02
1.020000000000000000e+02,1.529473259741263860e+02
1.030000000000000000e+02,1.544257249731975605e+02
1.040000000000000000e+02,1.559110025807702016e+02
1.050000000000000000e+02,1.573969502445977184e+02
1.060000000000000000e+02,1.588903483150145348e+02
1.070000000000000000e+02,1.603808848208278164e+02
1.080000000000000000e+02,1.618618922151736967e+02
1.090000000000000000e+02,1.633504657524445065e+02
1.100000000000000000e+02,1.648447803388378361e+02
1.110000000000000000e+02,1.663313801423646510e+02
1.120000000000000000e+02,1.678155693732602174e+02
1.130000000000000000e+02,1.693009788242821969e+02
1.140000000000000000e+02,1.707851940214275146e+02
1.150000000000000000e+02,1.722649165113717800e+02
1.160000000000000000e+02,1.737504655422458484e+02
1.170000000000000000e+02,1.752369827872033170e+02
1.180000000000000000e+02,1.767258903876160332e+02
1.190000000000000000e+02,1.782165139490732315e+02
1.200000000000000000e+02,1.797091324274938984e+02
1.210000000000000000e+02,1.812007505717174354e+02
1.220000000000000000e+02,1.826937297097730379e+02
1.230000000000000000e+02,1.841866123832362803e+02
1.240000000000000000e+02,1.856784734545114475e+02
1.250000000000000000e+02,1.871651493272477467e+02
1.260000000000000000e+02,1.886525315080147891e+02
1.270000000000000000e+02,1.901387484498328320e+02
1.280000000000000000e+02,1.916207087411512191e+02
1.290000000000000000e+02,1.931036611236490899e+02
1.300000000000000000e+02,1.945814551704386872e+02
1.310000000000000000e+02,1.960589082451040213e+02
1.320000000000000000e+02,1.975386155920194540e+02
1.330000000000000000e+02,1.990158367429032182e+02
1.340000000000000000e+02,2.004908005072103947e+02
1.350000000000000000e+02,2.019697092156964970e+02
1.360000000000000000e+02,2.034477042994109297e+02
1.370000000000000000e+02,2.049244175426616437e+02
1.380000000000000000e+02,2.064022071556288438e+02
1.390000000000000000e+02,2.078871260688288203e+02
1.400000000000000000e+02,2.093768617326789183e+02
1.410000000000000000e+02,2.108676478906420186e+02
1.420000000000000000e+02,2.123579008817162617e+02
1.430000000000000000e+02,2.138447830854659344e+02
1.440000000000000000e+02,2.153242280938254680e+02
1.450000000000000000e+02,2.168059631272168133e+02
1.460000000000000000e+02,2.182787473134412437e+02
1.470000000000000000e+02,2.197498352531915202e+02
1.480000000000000000e+02,2.212245353630717091e+02
1.490000000000000000e+02,2.227040764104821733e+02
1.500000000000000000e+02,2.241798708975170200e+02
1.510000000000000000e+02,2.256572464729416367e+02
1.520000000000000000e+02,2.271393521207787671e+02
1.530000000000000000e+02,2.286274697823319855e+02
1.540000000000000000e+02,2.301242193476543889e+02
1.550000000000000000e+02,2.316200663872646430e+02
1.560000000000000000e+02,2.331147792861463302e+02
1.570000000000000000e+02,2.346164002900183050e+02
1.580000000000000000e+02,2.361112673735087810e+02
1.590000000000000000e+02,2.375975999751368022e+02
1.600000000000000000e+02,2.390897427909979172e+02
1.610000000000000000e+02,2.405752439693726501e+02
1.620000000000000000e+02,2.420615244871156051e+02
1.630000000000000000e+02,2.435512118269546136e+02
1.640000000000000000e+02,2.450409868464230669e+02
1.650000000000000000e+02,2.465317226469742025e+02
1.660000000000000000e+02,2.480121760041364496e+02
1.670000000000000000e+02,2.494928180580854757e+02
1.680000000000000000e+02,2.509763270234606409e+02
1.690000000000000000e+02,2.524676573438877369e+02
1.700000000000000000e+02,2.539640630338815868e+02
1.710000000000000000e+02,2.554590380491102053e+02
1.720000000000000000e+02,2.569527638704798846e+02
1.730000000000000000e+02,2.584509177681762822e+02
1.740000000000000000e+02,2.599496144211450428e+02
1.750000000000000000e+02,2.614534835783161952e+02
1.760000000000000000e+02,2.629558690581809515e+02
1.770000000000000000e+02,2.644563616617088542e+02
1.780000000000000000e+02,2.659584561546288910e+02
1.790000000000000000e+02,2.674637023323281824e+02
1.800000000000000000e+02,2.689744382481792400e+02
1.810000000000000000e+02,2.704824713807696526e+02
1.820000000000000000e+02,2.719849691195076957e+02
1.830000000000000000e+02,2.734908773433065790e+02
1.840000000000000000e+02,2.749981986508793170e+02
1.850000000000000000e+02,2.765076982036927120e+02
1.860000000000000000e+02,2.780282296358502663e+02
1.870000000000000000e+02,2.795438580278812992e+02
1.880000000000000000e+02,2.810546751712820424e+02
1.890000000000000000e+02,2.825763279132419825e+02
1.900000000000000000e+02,2.841005861616861239e+02
1.910000000000000000e+02,2.856277688729421698e+02
1.920000000000000000e+02,2.871564772917006962e+02
1.930000000000000000e+02,2.886803079132628795e+02
1.940000000000000000e+02,2.902002162257550140e+02
1.950000000000000000e+02,2.917228575839099562e+02
1.960000000000000000e+02,2.932436471775439486e+02
1.970000000000000000e+02,2.947658636720292975e+02
1.980000000000000000e+02,2.962865390464430675e+02
1.990000000000000000e+02,2.978073099734702396e+02
2.000000000000000000e+02,2.993264241645421748e+02
2.010000000000000000e+02,3.008464856917877341e+02
2.020000000000000000e+02,3.023706573969229225e+02
2.030000000000000000e+02,3.038901811300145823e+02
2.040000000000000000e+02,3.054178729112072119e+02
2.050000000000000000e+02,3.069470848435535686e+02
2.060000000000000000e+02,3.084726170093758242e+02
2.070000000000000000e+02,3.099975221597347854e+02
2.080000000000000000e+02,3.115212843770227664e+02
2.090000000000000000e+02,3.130492631196092930e+02
2.100000000000000000e+02,3.145715775313300355e+02
2.110000000000000000e+02,3.160908785506712206e+02
2.120000000000000000e+02,3.176114250455470369e+02
2.130000000000000000e+02,3.191280463205011415e+02
2.140000000000000000e+02,3.206516156997464577e+02
2.150000000000000000e+02,3.221667798102207030e+02
2.160000000000000000e+02,3.236808951658060778e+02
2.170000000000000000e+02,3.251941754476878259e+02
2.180000000000000000e+02,3.267076658954743493e+02
2.190000000000000000e+02,3.282128295209004136e+02
2.200000000000000000e+02,3.297279433375828717e+02
2.210000000000000000e+02,3.312292384707594692e+02
2.220000000000000000e+02,3.327342067146598765e+02
2.230000000000000000e+02,3.342386087008875961e+02
2.240000000000000000e+02,3.357497030685491382e+02
2.250000000000000000e+02,3.372599862108328921e+02
2.260000000000000000e+02,3.387732427394405477e+02
2.270000000000000000e+02,3.402888802556025212e+02
2.280000000000000000e+02,3.418034857600678720e+02
2.290000000000000000e+02,3.433177355723444180e+02
2.300000000000000000e+02,3.448391775934824750e+02
2.310000000000000000e+02,3.463593809448184970e+02
2.320000000000000000e+02,3.478825452967242313e+02
2.330000000000000000e+02,3.494001194200349687e+02
2.340000000000000000e+02,3.509164481091361267e+02
2.350000000000000000e+02,3.524347789941987230e+02
2.360000000000000000e+02,3.539550530899506953e+02
2.370000000000000000e+02,3.554793139347436295e+02
2.380000000000000000e+02,3.570014660242038644e+02
2.390000000000000000e+02,3.585240038074246058e+02
2.400000000000000000e+02,3.600377605538606645e+02
2.410000000000000000e+02,3.615532057824373169e+02
2.420000000000000000e+02,3.630695656847485679e+02
2.430000000000000000e+02,3.645949829611736277e+02
2.440000000000000000e+02,3.661171254063264087e+02
2.450000000000000000e+02,3.676386420161423985e+02
2.460000000000000000e+02,3.691610083053472522e+02
2.470000000000000000e+02,3.706824054796347809e+02
2.480000000000000000e+02,3.721992057469382758e+02
2.490000000000000000e+02,3.737157469473248170e+02
2.500000000000000000e+02,3.752308020301069860e+02
2.510000000000000000e+02,3.767501211041607689e+02
2.520000000000000000e+02,3.782651553239306850e+02
2.530000000000000000e+02,3.797840083252681893e+02
2.540000000000000000e+02,3.812958173695033679e+02
2.550000000000000000e+02,3.828104236210184013e+02
2.560000000000000000e+02,3.843179994080335291e+02
2.570000000000000000e+02,3.858301264303603944e+02
2.580000000000000000e+02,3.873457840435933690e+02
2.590000000000000000e+02,3.888611682185087375e+02
2.600000000000000000e+02,3.903792197298613473e+02
2.610000000000000000e+02,3.919036644195267627e+02
2.620000000000000000e+02,3.934347128531834983e+02
2.630000000000000000e+02,3.949588193238798226e+02
2.640000000000000000e+02,3.964938525216740004e+02
2.650000000000000000e+02,3.980319873592426916e+02
2.660000000000000000e+02,3.995740501111802701e+02
2.670000000000000000e+02,4.011105981030369776e+02
2.680000000000000000e+02,4.026522501764878257e+02
2.690000000000000000e+02,4.041896600893068126e+02
2.700000000000000000e+02,4.057279676356951654e+02
2.710000000000000000e+02,4.072681051595787380e+02
2.720000000000000000e+02,4.088150875602327687e+02
2.730000000000000000e+02,4.103645368986246922e+02
2.740000000000000000e+02,4.119133300446607109e+02
2.750000000000000000e+02,4.134597901196101475e+02
2.760000000000000000e+02,4.150031872496790015e+02
2.770000000000000000e+02,4.165487405447826745e+02
2.780000000000000000e+02,4.180979698984054380e+02
2.790000000000000000e+02,4.196457171032830615e+02
2.800000000000000000e+02,4.211944534972823817e+02
2.810000000000000000e+02,4.227380951191923373e+02
2.820000000000000000e+02,4.242822162753301996e+02
2.830000000000000000e+02,4.258250814201676917e+02
2.840000000000000000e+02,4.273683924071071942e+02
2.850000000000000000e+02,4.289158427944850587e+02
2.860000000000000000e+02,4.304591555522007980e+02
2.870000000000000000e+02,4.319891481196159475e+02
2.880000000000000000e+02,4.335301745666753845e+02
2.890000000000000000e+02,4.350804094026837561e+02
2.900000000000000000e+02,4.366318560784542910e+02
2.910000000000000000e+02,4.381761961890236421e+02
2.920000000000000000e+02,4.397222883320644087e+02
2.930000000000000000e+02,4.412781352920785594e+02
2.940000000000000000e+02,4.428318833657633036e+02
2.950000000000000000e+02,4.443769215314110852e+02
2.960000000000000000e+02,4.459258082272062325e+02
2.970000000000000000e+02,4.474737494125928947e+02
2.980000000000000000e+02,4.490237878251423354e+02
2.990000000000000000e+02,4.505726816471912457e+02
3.000000000000000000e+02,4.521209437043052048e+02
3.010000000000000000e+02,4.536688770828026804e+02
3.020000000000000000e+02,4.552120214587740747e+02
3.030000000000000000e+02,4.567549384694195282e+02
3.040000000000000000e+02,4.582998695551859214e+02
3.050000000000000000e+02,4.598451720057947796e+02
3.060000000000000000e+02,4.613806351885078243e+02
3.070000000000000000e+02,4.629210996990746025e+02
3.080000000000000000e+02,4.644667290764830909e+02
3.090000000000000000e+02,4.660062976268168313e+02
3.100000000000000000e+02,4.675545988640231485e+02
3.110000000000000000e+02,4.691044552705528190e+02
3.120000000000000000e+02,4.706454510868179000e+02
3.130000000000000000e+02,4.721831504462643920e+02
3.140000000000000000e+02,4.737215370267054482e+02
3.150000000000000000e+02,4.752538384201360486e+02
3.160000000000000000e+02,4.767938725811365543e+02
3.170000000000000000e+02,4.783303456565528222e+02
3.180000000000000000e+02,4.798657258334943094e+02
3.190000000000000000e+02,4.813925511392596945e+02
3.200000000000000000e+02,4.829166078214195181e+02
3.210000000000000000e+02,4.844423786026209768e+02
3.220000000000000000e+02,4.859645914149575106e+02
3.230000000000000000e+02,4.874853355201385625e+02
3.240000000000000000e+02,4.890068370685463606e+02
3.250000000000000000e+02,4.905261662234822779e+02
3.260000000000000000e+02,4.920457084176693456e+02
3.270000000000000000e+02,4.935699705499612264e+02
3.280000000000000000e+02,4.950881422464638604e+02
3.290000000000000000e+02,4.966033986507006261e+02
3.300000000000000000e+02,4.981275047128464735e+02
3.310000000000000000e+02,4.996518168539520275e+02
3.320000000000000000e+02,5.011718120263104765e+02
3.330000000000000000e+02,5.026917230097943730e+02
3.340000000000000000e+02,5.042157171567254750e+02
3.350000000000000000e+02,5.057331783564643501e+02
3.360000000000000000e+02,5.072544569577785865e+02
3.370000000000000000e+02,5.087713351595809854e+02
3.380000000000000000e+02,5.102915150465262855e+02
3.390000000000000000e+02,5.118158118735310040e+02
3.400000000000000000e+02,5.133328028780100567e+02
3.410000000000000000e+02,5.148545116317121710e+02
3.420000000000000000e+02,5.163733650666591757e+02
3.430000000000000000e+02,5.178920721052041927e+02
3.440000000000000000e+02,5.194076529911092166e+02
3.450000000000000000e+02,5.209293489453239090e+02
3.460000000000000000e+02,5.224534599187865069e+02
3.470000000000000000e+02,5.239692860524455682e+02
3.480000000000000000e+02,5.254914234136156210e+02
3.490000000000000000e+02,5.270093137640750456e+02
3.500000000000000000e+02,5.285321849599921507e+02
3.510000000000000000e+02,5.300480692990062153e+02
3.520000000000000000e+02,5.315642968090609202e+02
3.530000000000000000e+02,5.330691031038979872e+02
3.540000000000000000e+02,5.345780170777189824e+02
3.550000000000000000e+02,5.360964799131376139e+02
3.560000000000000000e+02,5.376143705217442630e+02
3.570000000000000000e+02,5.391382340586380906e+02
3.580000000000000000e+02,5.406533384873790737e+02
3.590000000000000000e+02,5.421699839681482445e+02
3.600000000000000000e+02,5.436827188627041778e+02
3.610000000000000000e+02,5.452042808863574237e+02
3.620000000000000000e+02,5.467280760861847284e+02
3.630000000000000000e+02,5.482473386286487766e+02
3.640000000000000000e+02,5.497638045374765170e+02
3.650000000000000000e+02,5.512784600601654574e+02
3.660000000000000000e+02,5.527983047730606359e+02
3.670000000000000000e+02,5.543282511862215642e+02
3.680000000000000000e+02,5.558560516589827785e+02
3.690000000000000000e+02,5.573813464572625662e+02
3.700000000000000000e+02,5.589138476770165198e+02
3.710000000000000000e+02,5.604428136136962166e+02
3.720000000000000000e+02,5.619621738334979000e+02
3.730000000000000000e+02,5.634859183584409266e+02
3.740000000000000000e+02,5.650059349218021225e+02
3.750000000000000000e+02,5.665244060197823046e+02
3.760000000000000000e+02,5.680407193857446373e+02
3.770000000000000000e+02,5.695711280967157109e+02
3.780000000000000000e+02,5.710983222736155085e+02
3.790000000000000000e+02,5.726273734208483575e+02
3.800000000000000000e+02,5.741568798591604263e+02
3.810000000000000000e+02,5.756766368006736911e+02
3.820000000000000000e+02,5.772039527274081365e+02
3.830000000000000000e+02,5.787278423274688066e+02
3.840000000000000000e+02,5.802588503202446191e+02
3.850000000000000000e+02,5.817925569457376014e+02
3.860000000000000000e+02,5.833249983023930554e+02
3.870000000000000000e+02,5.848470656460996224e+02
3.880000000000000000e+02,5.863573136159849355e+02
3.890000000000000000e+02,5.878838689240782287e+02
3.900000000000000000e+02,5.893985926951227157e+02
3.910000000000000000e+02,5.909186856657078124e+02
3.920000000000000000e+02,5.924338029832670145e+02
3.930000000000000000e+02,5.939499414631803802e+02
3.940000000000000000e+02,5.954583444695327898e+02
3.950000000000000000e+02,5.969681574728579108e+02
3.960000000000000000e+02,5.984663907051573233e+02
3.970000000000000000e+02,5.999636238992841299e+02
3.980000000000000000e+02,6.014588380723185992e+02
3.990000000000000000e+02,6.029518400903497195e+02
4.000000000000000000e+02,6.044471597467389756e+02
4.010000000000000000e+02,6.059451246778104405e+02
4.020000000000000000e+02,6.074473509197872545e+02
4.030000000000000000e+02,6.089514704795059288e+02
4.040000000000000000e+02,6.104632556197794884e+02
4.050000000000000000e+02,6.119656206261460056e+02
4.060000000000000000e+02,6.134608158639106250e+02
4.070000000000000000e+02,6.149607885465135269e+02
4.080000000000000000e+02,6.164617060697512443e+02
4.090000000000000000e+02,6.179580501857823265e+02
4.100000000000000000e+02,6.194426551882621652e+02
4.110000000000000000e+02,6.209334493118404907e+02
4.120000000000000000e+02,6.224184763757413066e+02
4.130000000000000000e+02,6.239167623591547454e+02
4.140000000000000000e+02,6.254132260717502731e+02
4.150000000000000000e+02,6.269084472094742750e+02
4.160000000000000000e+02,6.284020602682004437e+02
4.170000000000000000e+02,6.298970926856263759e+02
4.180000000000000000e+02,6.313927351917450324e+02
4.190000000000000000e+02,6.328962533062134526e+02
4.200000000000000000e+02,6.344069955678593260e+02
4.210000000000000000e+02,6.359177388726594700e+02
4.220000000000000000e+02,6.374198796351668079e+02
4.230000000000000000e+02,6.389185250551576019e+02
4.240000000000000000e+02,6.404276342198714929e+02
4.250000000000000000e+02,6.419385257016349442e+02
4.260000000000000000e+02,6.434497114626645953e+02
4.270000000000000000e+02,6.449673271644079477e+02
4.280000000000000000e+02,6.464782305042843973e+02
4.290000000000000000e+02,6.479971212295806708e+02
4.300000000000000000e+02,6.495165477094592461e+02
4.310000000000000000e+02,6.510296731487699162e+02
4.320000000000000000e+02,6.525374491345936576e+02
4.330000000000000000e+02,6.540455618743442301e+02
4.340000000000000000e+02,6.555566578103582742e+02
4.350000000000000000e+02,6.570724167752418907e+02
4.360000000000000000e+02,6.585935438750472031e+02
4.370000000000000000e+02,6.600974614820173656e+02
4.380000000000000000e+02,6.616103373600805071e+02
4.390000000000000000e+02,6.631167277085233991e+02
4.400000000000000000e+02,6.646191214922379231e+02
4.410000000000000000e+02,6.661226423187447381e+02
4.420000000000000000e+02,6.676426208638785056e+02
4.430000000000000000e+02,6.691618652777075340e+02
4.440000000000000000e+02,6.706785163627733937e+02
4.450000000000000000e+02,6.721914106161502787e+02
4.460000000000000000e+02,6.737117414322229934e+02
4.470000000000000000e+02,6.752272144430359049e+02
4.480000000000000000e+02,6.767392857112353113e+02
4.490000000000000000e+02,6.782525259157192750e+02
4.500000000000000000e+02,6.797567597156318016e+02
4.510000000000000000e+02,6.812624514444037231e+02
4.520000000000000000e+02,6.827676781873581149e+02
4.530000000000000000e+02,6.842736994303402298e+02
4.540000000000000000e+02,6.857906247077169155e+02
4.550000000000000000e+02,6.873009249175058812e+02
4.560000000000000000e+02,6.888150075581593228e+02
4.570000000000000000e+02,6.903511271461728711e+02
4.580000000000000000e+02,6.918793534496936672e+02
4.590000000000000000e+02,6.934142953036673589e+02
4.600000000000000000e+02,6.949505316399895491e+02
4.610000000000000000e+02,6.964911715352108104e+02
4.620000000000000000e+02,6.980326015707069018e+02
4.630000000000000000e+02,6.995757143335647470e+02
4.640000000000000000e+02,7.011235207936693996e+02
4.650000000000000000e+02,7.026756456456938622e+02
4.660000000000000000e+02,7.042337245799747052e+02
4.670000000000000000e+02,7.057921196643877693e+02
4.680000000000000000e+02,7.073466312446112170e+02
4.690000000000000000e+02,7.089020712444365699e+02
4.700000000000000000e+02,7.104581058098450512e+02
4.710000000000000000e+02,7.120149817871100595e+02
4.720000000000000000e+02,7.135773035125897650e+02
4.730000000000000000e+02,7.151309881332476834e+02
4.740000000000000000e+02,7.166848709594701177e+02
4.750000000000000000e+02,7.182240365719916326e+02
4.760000000000000000e+02,7.197678783031465173e+02
4.770000000000000000e+02,7.213192429577267148e+02
4.780000000000000000e+02,7.228710730437312577e+02
4.790000000000000000e+02,7.244170857983338010e+02
4.800000000000000000e+02,7.259497029281534424e+02
4.810000000000000000e+02,7.274791542140219462e+02
4.820000000000000000e+02,7.290044975769391158e+02
4.830000000000000000e+02,7.305312000970729969e+02
4.840000000000000000e+02,7.320551942081518746e+02
4.850000000000000000e+02,7.335805646542047498e+02
4.860000000000000000e+02,7.351137098773908747e+02
4.870000000000000000e+02,7.366452481213340207e+02
4.880000000000000000e+02,7.381780603554866502e+02
4.890000000000000000e+02,7.397056781007418067e+02
4.900000000000000000e+02,7.412275585283908867e+02
4.910000000000000000e+02,7.427672466430353779e+02
4.920000000000000000e+02,7.443011245947698171e+02
4.930000000000000000e+02,7.458507188859003918e+02
4.940000000000000000e+02,7.474061865372416378e+02
4.950000000000000000e+02,7.489637005770969154e+02
4.960000000000000000e+02,7.505127313791425649e+02
4.970000000000000000e+02,7.520633340778163074e+02
4.980000000000000000e+02,7.536150773921485779e+02
4.990000000000000000e+02,7.551621095072706566e+02
5.000000000000000000e+02,7.567110186784008192e+02
5.010000000000000000e+02,7.582548817498111475e+02
5.020000000000000000e+02,7.598118719539227186e+02
5.030000000000000000e+02,7.613742307393554256e+02
5.040000000000000000e+02,7.629363328140078693e+02
5.050000000000000000e+02,7.644785268880349349e+02
5.060000000000000000e+02,7.660170035286375878e+02
5.070000000000000000e+02,7.675517214558269643e+02
5.080000000000000000e+02,7.690811863418691701e+02
5.090000000000000000e+02,7.706118766512183811e+02
5.100000000000000000e+02,7.721348088822733189e+02
5.110000000000000000e+02,7.736534261672670709e+02
5.120000000000000000e+02,7.751580974642844239e+02
5.130000000000000000e+02,7.766645339967564041e+02
5.140000000000000000e+02,7.781714451404217243e+02
5.150000000000000000e+02,7.796783058948994949e+02
5.160000000000000000e+02,7.811775852583655251e+02
5.170000000000000000e+02,7.826713028466580226e+02
5.180000000000000000e+02,7.841640434007390468e+02
