r_nm,g_OO_r
2.500000000000000052e-03,0.000000000000000000e+00
7.500000000000001457e-03,0.000000000000000000e+00
1.250000000000000069e-02,0.000000000000000000e+00
1.750000000000000167e-02,0.000000000000000000e+00
2.249999999999999917e-02,0.000000000000000000e+00
2.750000000000000361e-02,0.000000000000000000e+00
3.250000000000000805e-02,0.000000000000000000e+00
3.749999999999999861e-02,0.000000000000000000e+00
4.250000000000000305e-02,0.000000000000000000e+00
4.750000000000000056e-02,0.000000000000000000e+00
5.250000000000000500e-02,0.000000000000000000e+00
5.750000000000000944e-02,0.000000000000000000e+00
6.250000000000000000e-02,0.000000000000000000e+00
6.750000000000000444e-02,0.000000000000000000e+00
7.250000000000000888e-02,0.000000000000000000e+00
7.749999999999999944e-02,0.000000000000000000e+00
8.250000000000000389e-02,0.000000000000000000e+00
8.749999999999999445e-02,0.000000000000000000e+00
9.249999999999999889e-02,0.000000000000000000e+00
9.750000000000000333e-02,0.000000000000000000e+00
1.024999999999999939e-01,0.000000000000000000e+00
1.075000000000000122e-01,0.000000000000000000e+00
1.125000000000000028e-01,0.000000000000000000e+00
1.175000000000000211e-01,0.000000000000000000e+00
1.225000000000000117e-01,0.000000000000000000e+00
1.275000000000000022e-01,0.000000000000000000e+00
1.325000000000000067e-01,0.000000000000000000e+00
1.375000000000000111e-01,0.000000000000000000e+00
1.425000000000000155e-01,0.000000000000000000e+00
1.475000000000000200e-01,0.000000000000000000e+00
1.524999999999999967e-01,0.000000000000000000e+00
1.575000000000000289e-01,0.000000000000000000e+00
1.625000000000000056e-01,0.000000000000000000e+00
1.675000000000000377e-01,0.000000000000000000e+00
1.725000000000000144e-01,0.000000000000000000e+00
1.774999999999999911e-01,0.000000000000000000e+00
1.825000000000000233e-01,0.000000000000000000e+00
1.875000000000000000e-01,0.000000000000000000e+00
1.925000000000000322e-01,0.000000000000000000e+00
1.975000000000000089e-01,0.000000000000000000e+00
2.025000000000000411e-01,0.000000000000000000e+00
2.075000000000000178e-01,0.000000000000000000e+00
2.124999999999999944e-01,0.000000000000000000e+00
2.174999999999999711e-01,0.000000000000000000e+00
2.225000000000000033e-01,0.000000000000000000e+00
2.275000000000000355e-01,0.000000000000000000e+00
2.325000000000000122e-01,0.000000000000000000e+00
2.374999999999999889e-01,3.318420968815915606e-05
2.425000000000000211e-01,2.164436197503517064e-03
2.474999999999999978e-01,3.239033468941653754e-02
2.525000000000000577e-01,2.224807254925104394e-01
2.575000000000000067e-01,7.783499553643304925e-01
2.625000000000000111e-01,1.683253224872292009e+00
2.675000000000000155e-01,2.552765652034550747e+00
2.725000000000000200e-01,3.021722279447921267e+00
2.775000000000000244e-01,3.002537011502447228e+00
2.825000000000000289e-01,2.691898443351844250e+00
2.874999999999999778e-01,2.236818491547545751e+00
2.925000000000000377e-01,1.806180184868144689e+00
2.974999999999999867e-01,1.468779427470739529e+00
3.025000000000000466e-01,1.226952651703559827e+00
3.074999999999999956e-01,1.049181943693929808e+00
3.125000000000000000e-01,9.407408282966704949e-01
3.175000000000000044e-01,8.706242473656499170e-01
3.225000000000000089e-01,8.313658478506972260e-01
3.275000000000000133e-01,8.177455367042808509e-01
3.325000000000000178e-01,8.012438510140188486e-01
3.375000000000000222e-01,8.061088261766653495e-01
3.425000000000000266e-01,8.234508171585627201e-01
3.475000000000000311e-01,8.303225899661623721e-01
3.525000000000000355e-01,8.459513508169507201e-01
3.575000000000000400e-01,8.573846665065453232e-01
3.624999999999999889e-01,8.715590248254991845e-01
3.675000000000000488e-01,8.869505438815833420e-01
3.724999999999999978e-01,8.967959069470443634e-01
3.775000000000000577e-01,9.150065241346664324e-01
3.825000000000000067e-01,9.300328234126963300e-01
3.875000000000000111e-01,9.510271660067324273e-01
3.925000000000000155e-01,9.702314540410045263e-01
3.975000000000000200e-01,9.934819256118558872e-01
4.025000000000000244e-01,1.010224135448833271e+00
4.075000000000000289e-01,1.029333709682687559e+00
4.124999999999999778e-01,1.040636099863928576e+00
4.175000000000000933e-01,1.053338719118174893e+00
4.224999999999999867e-01,1.072125407599795466e+00
4.275000000000000466e-01,1.086708194871551791e+00
4.324999999999999956e-01,1.099023065636638874e+00
4.375000000000000000e-01,1.104949380771657275e+00
4.425000000000000600e-01,1.114334226500671710e+00
4.474999999999999534e-01,1.117978585948291803e+00
4.525000000000000133e-01,1.114672525582815155e+00
4.575000000000000178e-01,1.105099224565089244e+00
4.625000000000000222e-01,1.106073046561165674e+00
4.675000000000000822e-01,1.097391501179934448e+00
4.724999999999999756e-01,1.089230216067026413e+00
4.775000000000000355e-01,1.082022127226937247e+00
4.825000000000000955e-01,1.069618931410099005e+00
4.874999999999999889e-01,1.060290411322650117e+00
4.925000000000000488e-01,1.047545247582947647e+00
4.974999999999999423e-01,1.034672161308431981e+00
5.025000000000000577e-01,1.022939134255767879e+00
5.075000000000000622e-01,1.009619344376386119e+00
5.124999999999999556e-01,9.960163207395580365e-01
5.175000000000000711e-01,9.845722560305447679e-01
5.224999999999999645e-01,9.743896244399534723e-01
5.275000000000000799e-01,9.596784506026709849e-01
5.325000000000000844e-01,9.483226022778229458e-01
5.374999999999999778e-01,9.381671903713922900e-01
5.425000000000000933e-01,9.300296358759723159e-01
5.474999999999999867e-01,9.205515306645110085e-01
5.524999999999999911e-01,9.116060306323836571e-01
5.575000000000001066e-01,9.069995349786931227e-01
5.625000000000000000e-01,8.985962332082891857e-01
5.675000000000001155e-01,9.032790983255953865e-01
5.725000000000000089e-01,9.066340022507670682e-01
5.775000000000000133e-01,9.102373279160590469e-01
5.825000000000001288e-01,9.186923399114557132e-01
5.875000000000000222e-01,9.230790703003458608e-01
5.925000000000000266e-01,9.348710110719204991e-01
5.974999999999999201e-01,9.484056788013131012e-01
6.025000000000000355e-01,9.524846056184180787e-01
6.075000000000001510e-01,9.592177134713394393e-01
6.125000000000000444e-01,9.780787586599755112e-01
6.175000000000000488e-01,9.819300664335389728e-01
6.224999999999999423e-01,9.917391495827528880e-01
6.275000000000000577e-01,1.001730152773359972e+00
6.325000000000000622e-01,1.004933156612003664e+00
6.374999999999999556e-01,1.011708067758678720e+00
6.425000000000000711e-01,1.018155723751713149e+00
6.474999999999999645e-01,1.026811364404582871e+00
6.525000000000000799e-01,1.035742628034975299e+00
6.575000000000000844e-01,1.033338423679750484e+00
6.624999999999999778e-01,1.041977071550995726e+00
6.675000000000000933e-01,1.041553876237660603e+00
6.724999999999999867e-01,1.045605680206538546e+00
6.774999999999999911e-01,1.045991127674308352e+00
6.825000000000001066e-01,1.046538401602261192e+00
6.875000000000000000e-01,1.044765160108142910e+00
6.925000000000001155e-01,1.048343822348724474e+00
6.975000000000000089e-01,1.043382915613533024e+00
7.025000000000000133e-01,1.043516359927733284e+00
7.075000000000001288e-01,1.039245073457285784e+00
7.125000000000000222e-01,1.036579691245160584e+00
7.175000000000000266e-01,1.028942390689959074e+00
7.224999999999999201e-01,1.030162475981443837e+00
7.275000000000000355e-01,1.028160790165649319e+00
7.325000000000001510e-01,1.017378497560768258e+00
7.375000000000000444e-01,1.015975046452529229e+00
7.425000000000000488e-01,1.010928152921375833e+00
7.474999999999999423e-01,1.005971828213505948e+00
7.525000000000000577e-01,1.005629279469569370e+00
7.575000000000000622e-01,9.940644813162993199e-01
7.624999999999999556e-01,9.938712419203959980e-01
7.675000000000000711e-01,9.949396445935173583e-01
7.724999999999999645e-01,9.962673368509553651e-01
7.775000000000000799e-01,9.898612788526778283e-01
7.825000000000000844e-01,9.875173746491625604e-01
7.874999999999999778e-01,9.887418412008487367e-01
7.925000000000000933e-01,9.868287994152535880e-01
7.974999999999999867e-01,9.898833162438491762e-01
8.024999999999999911e-01,9.873616387788197724e-01
8.074999999999998845e-01,9.900481288223583753e-01
8.125000000000000000e-01,9.877480755131019530e-01
8.175000000000001155e-01,9.899843153558194331e-01
8.225000000000001199e-01,9.884464981047480503e-01
8.275000000000000133e-01,9.906704409724752525e-01
8.324999999999999067e-01,9.919271319882140281e-01
8.375000000000000222e-01,9.945377371818024947e-01
8.425000000000000266e-01,9.930055864887972206e-01
8.475000000000001421e-01,9.974890532359140805e-01
8.525000000000000355e-01,9.974465000694821004e-01
